Record Id,Mailer Category Name,Priority,AFB Name,Category,Modified Time
zcrm_5352026000048431013,Auto Wrap,false,PROFESSIONAL-Other,Personal & Professional Services,2025-01-27 15:39:33
zcrm_5352026000054591151,Hottub,false,HOME-Pool/Spa Builders,Home Improvement,2025-01-27 16:27:56
zcrm_5352026000064998001,Education,false,EDUCATION-Tutoring,Personal & Professional Services,2025-01-27 15:48:15
zcrm_5352026000074400003,Property Management,false,PROFESSIONAL-Other,Personal & Professional Services,2025-01-27 16:55:25
zcrm_5352026000079451011,LEAD Card,false,LABEL-Lead,Personal & Professional Services,2025-01-27 16:37:08
zcrm_5352026000080906615,Custom Window Treatments,false,SERVICE-Window Treatments,Home Improvement,2025-01-27 15:44:06
zcrm_5352026000088144240,Notary,false,,Personal & Professional Services,2025-02-21 16:17:55
zcrm_5352026000088423085,Nursery,false,,Experiences,2025-02-24 13:18:30
zcrm_5352026000088423203,Academy,false,,Personal & Professional Services,2025-02-24 13:34:31
zcrm_5352026000089823055,Attorney,false,,Personal & Professional Services,2025-03-06 12:15:34
zcrm_5352026000090541198,Printing services,false,,Personal & Professional Services,2025-03-13 14:44:16
zcrm_5352026000090541366,Bakery,false,,Experiences,2025-03-13 15:06:37
zcrm_5352026000091135264,Accounting Services,false,,Personal & Professional Services,2025-03-18 15:38:45
zcrm_5352026000091135286,IT & Networks,false,,Personal & Professional Services,2025-03-18 15:41:55
zcrm_5352026000093675001,Construction Services,false,,Home Improvement,2025-04-09 08:24:55
zcrm_5352026000093889091,Sewer,false,,Home Improvement,2025-04-10 15:24:09
zcrm_5352026000096573087,Cooperative,false,,Personal & Professional Services,2025-05-07 13:16:31
zcrm_5352026000097959402,Label,false,,Personal & Professional Services,2025-05-16 15:18:49
zcrm_5352026000098654036,Home Automation,false,,Home Improvement,2025-05-27 11:17:31
